Malzeme,Malzeme Açıklaması,Satınalma Açık.,Dönem Başı Miktar,Dönem Başı Tutar,Dönem Giriş Miktar,Dönem Giriş Tutar,Dönem Çıkış Miktar,Dönem Çıkış Tutar,Dönem Miktar,Dönem Tutar,Dönem Sonu Miktar,Dönem Sonu Tutar,Marka,depo
48A0002,BBSV-20 B.SINIR.VALFI GÖVD.MAG 300B,15002002,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
48L1451,08/2 ALÜMİNYUM BLOK (2/2) 3/8”  DİŞLİ,30020304,4,736.86,0,0,4,736.86,-4,-736.86,0,0,MAG,BURSA
48L1452,10/2 ALÜMİNYUM BLOK (2/2) 1/2”  DİŞLİ,30020306,5,"1,306.19",35,"14,972.74",30,"12,089.50",5,"2,883.24",10,"4,189.43",MAG,BURSA
48L2358,DAĞITICI; EŞLEME YAĞ BLOK,30020529,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
50M1084,PNÖMATİK BLOK,30020531 DEMMAK DEVE 30,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
50P1072,HİDROLİK BLOK,DEMMAK - 30020331 HNTHB-1009-22-01 DEVE BLOK,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52A0002,NHS- 50- 100 HİDROLİK SİLİNDİR MAG,16001002,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52A0053,NHS- 80- 600 HİDROLİK SİLİNDİR MAG,16005012,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52A0062,NHS-100-  50 HİDROLİK SİLİNDİR MAG,16007001,0,0,2,"24,285.60",2,"24,285.60",0,0,0,0,MAG,BURSA
52A0063,NHS-100- 100 HİDROLİK SİLİNDİR MAG,16007002,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52A0071,NHS-100- 500 HİDROLİK SİLİNDİR MAG,16007010,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52A0084,NHS-125- 150 HİDROLİK SİLİNDİR MAG,16009003,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52A0101,NHS-125-1000 HİDROLİK SİLİNDİR MAG,16009020,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52A2538,NHS-Y 160/110*1260+ÖEBK+AEBK,16811007,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52A3744,NHS 125*20+AFB HİDROLİK SİLİNDİR MAG,16809011,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52A4233,Q100/70-300 HİD.SİL. ÖFB OMEGAT MAG,30015620,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52A4316,NHS- 80-250 HİDR.SİL+ÖFB VİTON MAG,MİL BOYU: 32 MM UZUN 16805050,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52A4706,NHS 100*100+AEB+ÖEB HİDR. SİLİNDİR MAG,16007002+17002004+17003004,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52A5863,NHS 50/28-2000+ÖFB HİDROLİK SİLİNDİR MAG,16801041,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52A7411,NHS 80-70-SV   VİTON   HİDROLİK SİLİNDİR MAG,16805061,0,0,2,"16,156.14",2,"16,156.14",0,0,0,0,MAG,BURSA
52A7630,NHS 80-100-SV   VİTON   HİDROLİK SİLİNDİR MAG,16805062,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52A7631,NHS 80-140-SV   VİTON   HİDROLİK SİLİNDİR MAG,16805063,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52A8170,NHS 80-50-SV   VİTON   HİDROLİK SİLİNDİR MAG,16805069 - PROMETAL,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52A8228,NHS 100-70-SV   VİTON   HİDROLİK SİLİNDİR MAG,16807035 - PROMETAL,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52A8264,NHS- 63- 60 HİDROLİK SİLİNDİR MAG,16803022  - PROMETAL,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52A8530,NHS 80/45-187 ÖFB ÖZEL HİDR.SİLİNDİR,MAG KODU - BORÇELİK,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52A8941,NHS- 50- 45 HİDROLİK SİLİNDİR MAG,16801053- PROMETAL,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52A9330,NHS-63/36-100+ÖFB (D6:11) HİD.SİL.MAG,16803063 SİMETRİK DİZAYN,2,"10,077.24",0,0,2,"10,077.24",-2,"-10,077.24",0,0,MAG,BURSA
52C0142,KHS- 40-   50 HİDROLİK SİLİNDİR MAG,16101001,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C0143,KHS- 40- 100 HİDROLİK SİLİNDİR MAG,16101002,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C0144,KHS- 40- 150 HİDROLİK SİLİNDİR MAG,16101003,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C0146,KHS 40*250 HİDROLİK SİLİNDİR MAG,16101005,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C0151,KHS- 40- 500 HİDROLİK SİLİNDİR MAG,16101010,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C0152,KHS- 40- 550 HİDROLİK SİLİNDİR MAG,16101011,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C0162,KHS- 50-  50 HİDROLİK SİLİNDİR MAG,16103001,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C0163,KHS- 50- 100 HİDROLİK SİLİNDİR MAG,16103002,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C0164,KHS- 50- 150 HİDROLİK SİLİNDİR MAG,16103003,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C0165,KHS- 50- 200 HİDROLİK SİLİNDİR MAG,16103004,0,0,2,"5,503.20",2,"5,503.20",0,0,0,0,MAG,BURSA
52C0166,KHS- 50- 250 HİDROLİK SİLİNDİR MAG,16103005,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C0167,KHS- 50- 300 HİDROLİK SİLİNDİR MAG,16103006,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C0169,KHS- 50- 400 HİDROLİK SİLİNDİR MAG,16103008,0,0,1,"3,198.00",1,"3,198.00",0,0,0,0,MAG,BURSA
52C0170,KHS- 50- 450 HİDROLİK SİLİNDİR MAG,16103009,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C0173,KHS- 50- 600 HİDROLİK SİLİNDİR MAG,16103012,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C0182,KHS- 63-  50 HİDROLİK SİLİNDİR MAG,16105001,0,0,4,"9,006.20",4,"9,006.20",0,0,0,0,MAG,BURSA
52C0183,KHS- 63- 100 HİDROLİK SİLİNDİR MAG,16105002,0,0,2,"4,820.50",2,"4,820.50",0,0,0,0,MAG,BURSA
52C0184,KHS- 63- 150 HİDROLİK SİLİNDİR MAG,16105003,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C0189,KHS- 63- 400 HİDROLİK SİLİNDİR MAG,16105008,0,0,1,"4,092.90",1,"4,092.90",0,0,0,0,MAG,BURSA
52C0191,KHS- 63- 500 HİDROLİK SİLİNDİR MAG,16105010,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C0193,KHS- 63- 600 HİDROLİK SİLİNDİR MAG,16105012,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C0198,KHS- 63- 850 HİDROLİK SİLİNDİR MAG,16105017,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C0202,KHS- 80-  50 HİDROLİK SİLİNDİR MAG,16107001,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C0203,KHS- 80- 100 HİDROLİK SİLİNDİR MAG,16107002,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C0204,KHS- 80- 150 HİDROLİK SİLİNDİR MAG,16107003,0,0,1,"3,428.22",1,"3,428.22",0,0,0,0,MAG,BURSA
52C0205,KHS- 80- 200 HİDROLİK SİLİNDİR MAG,16107004,0,0,1,"3,669.07",1,"3,669.07",0,0,0,0,MAG,BURSA
52C0207,KHS- 80- 300 HİDROLİK SİLİNDİR MAG,16107006,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C0209,KHS- 80- 400 HİDROLİK SİLİNDİR MAG,16107008,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C0213,KHS- 80- 600 HİDROLİK SİLİNDİR MAG,16107012,0,0,1,"5,595.82",1,"5,595.82",0,0,0,0,MAG,BURSA
52C0216,KHS- 80- 750 HİDROLİK SİLİNDİR MAG,16107015,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C0223,KHS-100- 100 HİDROLİK SİLİNDİR MAG,16109002,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C0224,KHS-100- 150 HİDROLİK SİLİNDİR MAG,16109003,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C0225,KHS-100- 200 HİDROLİK SİLİNDİR MAG,16109004,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C0229,KHS-100- 400 HİDROLİK SİLİNDİR MAG,16109008,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C0245,KHS-125- 200 HİDROLİK SİLİNDİR MAG,16111004,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C0284,KHS-200- 150 HİDROLİK SİLİNDİR MAG,16115003,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C0671,KHS 63/45-80 RH HİD.SİL.-H0408,16903065-AKYAPAK-H0408,0,0,2,"6,495.46",2,"6,495.46",0,0,0,0,MAG,BURSA
